0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,1.00E+11,102009,R,Other,Other,0,5.375,5.375,55000,0,0,240,82009,102009,1,239,238,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,112009,R,Other,Other,0,5.375,5.375,55000,0,0,240,82009,102009,2,238,238,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,122009,R,Other,Other,0,5.375,5.375,55000,0,0,240,82009,102009,3,237,236,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,12010,R,Other,Other,0,5.375,5.375,55000,0,0,240,82009,102009,4,236,235,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,22010,R,Other,Other,0,5.375,5.375,55000,0,54350.98,240,82009,102009,5,235,235,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,32010,R,Other,Other,0,5.375,5.375,55000,0,54219.43,240,82009,102009,6,234,234,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,42010,R,Other,Other,0,5.375,5.375,55000,0,53954.56,240,82009,102009,7,233,232,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,52010,R,Other,Other,0,5.375,5.375,55000,0,53954.56,240,82009,102009,8,232,232,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,62010,R,Other,Other,0,5.375,5.375,55000,0,53821.23,240,82009,102009,9,231,231,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,1.00E+11,72010,R,Other,Other,0,5.375,5.375,55000,0,53552.78,240,82009,102009,10,230,229,92029,55,55,1,36,714,0,N,C,SF,1,P,OH,17140,452,0,FRM,N,N,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
