0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,101873116723.91696,115902,B,Other,"Jp Morgan Chase Bank, Na",0,4.399328630909878,4.755829126870355,124519,0,86022.3399272779,234,71971,91980,105,211,-78,81269,73,75,2,21,762,764,N,C,SF,1,P,VA,36551,420,31,FRM,N,N,0,0,0,3.1727653036280876e+44,Y,0,0,-68338,299.56900136882047,0,0,6.650958289712423,0,236,211,-118,-13.748429117124585,4.018279953223864,-4.861404222518692,2.173782739973834,-0.3843884160120929,1.1309915964420019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,101709778677.54202,-2912,B,"Wells Fargo Bank, N.A.",Other,0,4.863503238123547,4.953368560076596,353490,0,122342.88861884826,366,72683,110629,2,238,325,72757,69,74,2,30,660,-20,N,P,SF,1,P,MN,37067,537,0,FRM,N,N,0,0,0,3.836158917940632e+44,Y,0,0,-43174,1907.7568617131947,0,0,213.485564327538,0,-236,22,-28,-18.55763248566418,1.2702911480593855,2.3294976277475397,1.371385025506725,-7.354297467263111,-273.0213029308178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,N,0,0,0,0,0
0,102036207645.36667,108764,R,"Pnc Bank, N.A.","Jp Morgan Chase Bank, Na",0,4.73841774010224,5.838707800896086,195884,0,168245.4758651652,245,72353,91757,23,139,-29,83130,53,70,2,37,771,764,N,R,SF,1,P,PR,-2087,502,27,FRM,N,N,0,0,0,-6.184482663709263e+44,N,0,0,-217,-875.908813993793,0,0,2.607350014011188,0,-369,137,171,-15.00580781791054,-9.18142972729855,-3.5739588380847516,-4.734362180903912,5.399968008032873,-209.54165139217068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,N,0,0,0,0,0
0,102129465367.56743,13694,B,Other,Other,0,4.298676874328243,5.3417728984316515,511548,0,-32003.527129288937,366,71850,102435,32,170,109,82148,75,69,3,23,716,49,N,P,PU,2,P,PR,34553,791,0,FRM,N,N,0,0,2,1.9569741742455657e+44,Y,0,0,34414,2206.740458055417,0,0,465.3484234967036,0,-81,174,1,-14.982112511059752,0.30803858889214586,-4.430094071721353,-2.298990926796275,-12.070622908627495,10.724532409355428,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,99896046438.65727,23432,R,"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",0,5.506616768599642,4.061185530606716,546158,0,131380.47298120247,367,72499,103046,46,155,23,81765,63,72,1,60,806,932,N,C,PU,2,P,CA,41761,-20,0,FRM,N,N,0,0,16,6.202804115381832e+43,N,0,0,-255,418814.39097159274,0,0,14.702734905634227,0,-461,170,-111,-11.469976433478775,4.993797009036703,-2.2737556556657657,6.145248455406248,-0.3562523528672289,-310.6057545997781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,N,0,0,0,0,0
0,100814963879.72891,82293,R,"Jpmorgan Chase Bank, National Association",0,0,4.398916838749154,5.552175778417259,327769,0,37426.970837681045,205,81082,101645,-4,172,284,90679,73,64,1,36,795,790,N,C,PU,2,P,MN,43873,881,32,FRM,N,N,0,0,0,-4.857900170402223e+44,N,0,0,27351,350223.0722888822,0,0,341.8354836893566,0,-76,64,53,1.2709595257383455,0.07911304011643998,-5.379056213899294,-6.961274688118025,8.217677961612292,-238.03797104295148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,101934795428.26999,54030,R,"Pnc Bank, N.A.",Other,0,5.362436644709772,4.418450813513927,147660,0,735298.7170914514,361,71625,103662,9,158,246,105766,70,51,1,32,754,6,N,C,PU,1,P,TX,35841,747,0,FRM,N,N,0,0,-2,2.876936845949569e+43,N,0,0,-6809,358.9216086244696,0,0,163.98696036904926,0,-275,-47,43,-0.41176057598010696,1.2699837994260232,-2.9111008619642895,7.612423825484978,11.404284681488782,-236.6038322129059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,8,0,0
0,100014785730.95493,49582,B,"Pnc Bank, N.A.",Other,0,6.047502612415053,5.2061244328119995,55307,0,236846.36856048662,361,72120,91879,-7,228,-77,81854,54,58,2,32,763,62,N,C,SF,1,P,FL,16403,293,32,FRM,N,N,0,0,0,6.42872441310884e+44,N,0,0,-366,85.28464173375819,0,0,-1.2744518881984226,0,-19,391,87,-19.880660496682882,1.3632805822037835,4.438156098340878,-0.44788763111970115,-4.309701861443956,82.21953753343722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,99912321300.97339,74577,R,Other,0,0,4.662662704551823,4.225712682432029,85331,0,78769.5269456074,367,71494,102301,88,122,344,81862,74,71,3,20,754,940,N,C,SF,1,P,UT,3162,309,0,FRM,N,N,0,0,-1,1.5016463112468587e+44,N,0,0,-891,2195.394105247685,0,0,379.39981968533016,0,-91,161,114,20.049606169164242,7.312614420577886,-2.9382586384202183,5.257501572890937,-4.821128138557852,-168.3158017639461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
0,99920522654.39772,36210,R,"Pnc Bank, N.A.",0,0,4.544288681870275,5.344752643478579,506949,0,98839.40271765299,370,72344,115031,114,317,-25,107045,71,72,1,47,767,907,N,R,SF,1,P,PR,23078,819,0,FRM,N,N,0,0,0,2.6481855991490256e+44,Y,0,0,28041,-1912.1111071365783,0,0,6.891191509749525,0,50,41,106,13.516545390811316,10.823173864335372,-2.423266994499466,18.633439863261977,-5.222983904148564,-466.6098890427419,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Y,0,0,0,0,0,0,N,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0
